00:00:00,export,1650
00:00:01,export,1666
00:00:02,export,1682
00:00:03,export,1699
00:00:04,export,1715
00:00:05,export,1732
00:00:06,export,1748
00:00:07,export,1765
00:00:08,export,1781
00:00:09,export,1797
00:00:10,export,1814
00:00:11,export,1830
00:00:12,export,1846
00:00:13,export,1863
00:00:14,export,1879
00:00:15,export,1895
00:00:16,export,1912
00:00:17,export,1928
00:00:18,export,1944
00:00:19,export,1960
00:00:20,export,1976
00:00:21,export,1992
00:00:22,export,2008
00:00:23,export,2024
00:00:24,export,2040
00:00:25,export,2056
00:00:26,export,2072
00:00:27,export,2088
00:00:28,export,2104
00:00:29,export,2119
00:00:30,export,2135
00:00:31,export,2151
00:00:32,export,2166
00:00:33,export,2182
00:00:34,export,2197
00:00:35,export,2213
00:00:36,export,2228
00:00:37,export,2243
00:00:38,export,2258
00:00:39,export,2274
00:00:40,export,2289
00:00:41,export,2304
00:00:42,export,2319
00:00:43,export,2333
00:00:44,export,2348
00:00:45,export,2363
00:00:46,export,2378
00:00:47,export,2392
00:00:48,export,2407
00:00:49,export,2421
00:00:50,export,2435
00:00:51,export,2449
00:00:52,export,2464
00:00:53,export,2478
00:00:54,export,2492
00:00:55,export,2505
00:00:56,export,2519
00:00:57,export,2533
00:00:58,export,2546
00:00:59,export,2560
00:01:00,export,2573
00:01:01,export,2586
00:01:02,export,2600
00:01:03,export,2613
00:01:04,export,2626
00:01:05,export,2638
00:01:06,export,2651
00:01:07,export,2664
00:01:08,export,2676
00:01:09,export,2689
00:01:10,export,2701
00:01:11,export,2713
00:01:12,export,2725
00:01:13,export,2737
00:01:14,export,2749
00:01:15,export,2761
00:01:16,export,2772
00:01:17,export,2784
00:01:18,export,2795
00:01:19,export,2806
00:01:20,export,2817
00:01:21,export,2828
00:01:22,export,2839
00:01:23,export,2850
00:01:24,export,2860
00:01:25,export,2871
00:01:26,export,2881
00:01:27,export,2891
00:01:28,export,2901
00:01:29,export,2911
00:01:30,export,2921
00:01:31,export,2930
00:01:32,export,2940
00:01:33,export,2949
00:01:34,export,2958
00:01:35,export,2967
00:01:36,export,2976
00:01:37,export,2985
00:01:38,export,2994
00:01:39,export,3002
00:01:40,export,3010
00:01:41,export,3019
00:01:42,export,3027
00:01:43,export,3034
00:01:44,export,3042
00:01:45,export,3050
00:01:46,export,3057
00:01:47,export,3064
00:01:48,export,3071
00:01:49,export,3078
00:01:50,export,3085
00:01:51,export,3092
